n_clusters,BIC,Silhouette Score,Davies-Bouldin Index
69,73938.84456683772,-0.12060185826771937,3.4115701994658485
70,119531.68074737735,-0.11454985432853226,3.391664951079043
71,115940.70061251248,-0.11867477187411504,3.065616348519025
72,58535.88422821244,-0.12496618901812492,3.5644540721880924
73,124571.34226161122,-0.13277948553182303,3.407192720862235
74,146946.8517002047,-0.1340159740524849,3.089802410732991
75,100451.12647791178,-0.13437861171708548,3.335613029150379
76,83400.10168766156,-0.11893412730805322,3.367648341754608
77,52885.57381700633,-0.1470773661903549,3.3854622295589265
78,82265.92372345715,-0.13033543154907354,3.4818400957886704
79,89768.2984670009,-0.12287975758818079,3.3678192741746322
80,30277.469039155083,-0.12645951184973905,3.538199134597498
81,110862.00507579933,-0.11344509480716755,3.2117581287086296
82,112515.6042318452,-0.13254204587580562,3.135726815149671
83,84098.93155905699,-0.13315632165597113,3.1308383517177147
84,95046.27180895377,-0.14026631399354617,2.9948787007147435
85,107755.86693256171,-0.13771690002813325,3.13154498863963
86,43965.59952126918,-0.14138251388643766,3.3362168833585346
87,87046.91805595043,-0.12076717629891656,3.1797489091616793
88,79934.3956018226,-0.13166276641477037,3.115565101557237
89,45789.4075660681,-0.15247851633680912,3.3326453178263185
90,32607.697191855048,-0.15432480307042556,3.3392274588236326
91,55790.27198945319,-0.14110798725644846,3.2109691168539443
92,91347.77181116615,-0.13051699021489924,3.229652355846751
93,94861.12072610752,-0.1329880270771805,3.0876862200465394
94,110374.73295445066,-0.15309302475030273,2.97598658731823
95,87925.98214934589,-0.14861104904638092,3.1085298475863383
96,65124.74825031973,-0.14702175242780832,2.9451436421873076
97,106817.42726047305,-0.16139580890416846,3.1403556815723075
98,76957.99752964362,-0.14420818888565104,3.264387160998406
99,95509.78850350753,-0.1500581551273603,3.136298975169844
100,116398.7669523223,-0.15004734102480324,2.9579496981382016
101,83772.3600116752,-0.15332602684599067,3.0322681263356133
102,118425.04833480784,-0.15736331974103043,3.255589501782846
103,98572.51915266814,-0.13423178565219404,3.005443077542197
104,68376.0956808738,-0.1610488726386372,3.0534784745645416
105,100854.102960803,-0.1637363575433517,2.9890613723008634
106,113737.11713747343,-0.16899215256502428,2.8460328252330727
107,98940.44696938594,-0.16782418695734733,2.998812372713204
108,63221.174091521505,-0.17570076048346425,2.9620645046126377
109,100155.22709800165,-0.16881823366262655,2.9099111295256646
110,108117.86696152115,-0.172259797722162,2.8940160799662595
111,146808.84290770502,-0.15230929634322435,2.8361206754672588
112,84106.42216906958,-0.18170371349063935,2.8222235311013004
113,88481.50035524348,-0.18167441749139868,3.0564757946793932
114,112087.4182010058,-0.15298052442911908,2.9455351552108673
115,100474.67754019599,-0.17253944693595966,3.119546342058829
116,85037.63192957103,-0.1684664744100958,3.0603423364448905
117,71627.28831997461,-0.1824007247328084,2.9838796075488134
118,85200.02433040799,-0.16540339663020778,3.1193525630837886
119,121405.49298783638,-0.16273474819898084,2.88480824965134
120,113033.17885849041,-0.17071598858670411,2.8685898122428504
121,130698.0353338095,-0.17411026140812735,2.837519851627631
122,93446.61221537924,-0.18120245649241792,2.9673961500317274
123,111019.75469619327,-0.1613133516581377,3.054679969100199
