eps,min_samples,n_clusters,silhouette_score,davies_bouldin_index,n_outliers,percentage_outliers
2.1,71,1,0.09041459218222302,5.42311780469181,3916,0.27575522850503487
2.1,81,1,0.08268324900089027,5.311341170791701,4550,0.32039997183296953
2.1,91,1,0.07435629334646308,5.325008449875336,5111,0.35990423209633127
2.2,1,238,-0.3087718427108132,0.7562765922850709,0,0.0
2.2,11,1,0.1626872456738121,4.239486659560939,502,0.03534962326596718
2.2,21,1,0.15137141200275528,4.638592298814334,783,0.055136962185761564
2.2,31,1,0.14139384565935628,4.8047996841283815,1066,0.07506513625800999
2.2,41,1,0.13492622591799439,4.9524182268560235,1375,0.09682416731216112
2.2,51,1,0.12874765422390144,4.996673820305931,1709,0.1203436377719879
2.2,61,1,0.12128537237479997,5.174670152713304,2057,0.14484895429899303
2.2,71,1,0.11672147542210048,5.2010576323174895,2349,0.1654108865572847
2.2,81,1,0.1125481695346241,5.228554026607058,2646,0.1863249066967115
2.2,91,1,0.10821684038305604,5.140378883646527,3020,0.21266108020561933
2.3,1,148,-0.2573005041210938,0.7393711152060081,0,0.0
2.3,11,1,0.18225371323272588,3.7166009530225796,294,0.020702767410745723
2.3,21,1,0.17157230608689378,3.9149115401447974,448,0.03154707414970777
2.3,31,1,0.16292168518615896,4.249820025650806,621,0.043729314836983314
2.3,41,1,0.15645655215893212,4.381054691132474,774,0.05450320399971833
2.3,51,1,0.1506127800574876,4.44067916082875,962,0.06774170833039926
2.3,61,1,0.14604528103858375,4.660627646275578,1124,0.07914935567917752
2.3,71,1,0.14103027628494177,4.751917234030418,1352,0.09520456305893951
2.3,81,1,0.13681764586678377,4.76323016116115,1538,0.1083022322371664
2.3,91,1,0.1308110171864192,4.9116256352430145,1794,0.12632913175128513
2.4,1,91,-0.20248833604714886,0.7189179613159006,0,0.0
2.4,11,1,0.19923157797530427,3.197864936947774,159,0.011196394620097177
2.4,21,1,0.1907257926127048,3.4708373061407594,263,0.01851982254770791
2.4,31,1,0.18300260056618173,3.630273341763369,361,0.02542074501795648
2.4,41,1,0.1768391922347756,3.9247870889593814,441,0.031054151116118582
2.4,51,1,0.1720671445516141,4.01835361620905,555,0.039081754805999576
2.4,61,1,0.16650199960269402,4.179553983578565,644,0.045348919090204914
2.4,71,1,0.1617044026362777,4.1833411724259895,760,0.05351735793253996
2.4,81,1,0.15783619108125416,4.35844034381404,867,0.06105203858883177
2.4,91,1,0.15497518869754554,4.398797269389626,976,0.06872755439757763
