eps,min_samples,n_clusters,silhouette_score,davies_bouldin_index,n_outliers,percentage_outliers
0.6,221,0,-1.0,-1.0,14201,1.0
0.6,231,0,-1.0,-1.0,14201,1.0
0.6,241,0,-1.0,-1.0,14201,1.0
0.6,251,0,-1.0,-1.0,14201,1.0
0.6,261,0,-1.0,-1.0,14201,1.0
0.6,271,0,-1.0,-1.0,14201,1.0
0.6,281,0,-1.0,-1.0,14201,1.0
0.6,291,0,-1.0,-1.0,14201,1.0
0.6,301,0,-1.0,-1.0,14201,1.0
0.6,311,0,-1.0,-1.0,14201,1.0
0.6,321,0,-1.0,-1.0,14201,1.0
0.6,331,0,-1.0,-1.0,14201,1.0
0.6,341,0,-1.0,-1.0,14201,1.0
0.6,351,0,-1.0,-1.0,14201,1.0
0.6,361,0,-1.0,-1.0,14201,1.0
0.6,371,0,-1.0,-1.0,14201,1.0
0.6,381,0,-1.0,-1.0,14201,1.0
0.6,391,0,-1.0,-1.0,14201,1.0
0.6,401,0,-1.0,-1.0,14201,1.0
0.6,411,0,-1.0,-1.0,14201,1.0
0.6,421,0,-1.0,-1.0,14201,1.0
0.6,431,0,-1.0,-1.0,14201,1.0
0.6,441,0,-1.0,-1.0,14201,1.0
0.6,451,0,-1.0,-1.0,14201,1.0
0.6,461,0,-1.0,-1.0,14201,1.0
0.6,471,0,-1.0,-1.0,14201,1.0
0.6,481,0,-1.0,-1.0,14201,1.0
0.6,491,0,-1.0,-1.0,14201,1.0
0.6,501,0,-1.0,-1.0,14201,1.0
0.6,511,0,-1.0,-1.0,14201,1.0
0.6,521,0,-1.0,-1.0,14201,1.0
0.6,531,0,-1.0,-1.0,14201,1.0
0.6,541,0,-1.0,-1.0,14201,1.0
0.6,551,0,-1.0,-1.0,14201,1.0
0.6,561,0,-1.0,-1.0,14201,1.0
0.6,571,0,-1.0,-1.0,14201,1.0
0.6,581,0,-1.0,-1.0,14201,1.0
0.6,591,0,-1.0,-1.0,14201,1.0
0.6,601,0,-1.0,-1.0,14201,1.0
0.6,611,0,-1.0,-1.0,14201,1.0
0.6,621,0,-1.0,-1.0,14201,1.0
0.6,631,0,-1.0,-1.0,14201,1.0
0.6,641,0,-1.0,-1.0,14201,1.0
0.6,651,0,-1.0,-1.0,14201,1.0
0.6,661,0,-1.0,-1.0,14201,1.0
0.6,671,0,-1.0,-1.0,14201,1.0
0.6,681,0,-1.0,-1.0,14201,1.0
0.6,691,0,-1.0,-1.0,14201,1.0
0.6,701,0,-1.0,-1.0,14201,1.0
0.6,711,0,-1.0,-1.0,14201,1.0
0.6,721,0,-1.0,-1.0,14201,1.0
0.6,731,0,-1.0,-1.0,14201,1.0
0.6,741,0,-1.0,-1.0,14201,1.0
0.6,751,0,-1.0,-1.0,14201,1.0
0.6,761,0,-1.0,-1.0,14201,1.0
0.6,771,0,-1.0,-1.0,14201,1.0
0.6,781,0,-1.0,-1.0,14201,1.0
0.6,791,0,-1.0,-1.0,14201,1.0
0.6,801,0,-1.0,-1.0,14201,1.0
0.6,811,0,-1.0,-1.0,14201,1.0
0.6,821,0,-1.0,-1.0,14201,1.0
0.6,831,0,-1.0,-1.0,14201,1.0
0.6,841,0,-1.0,-1.0,14201,1.0
0.6,851,0,-1.0,-1.0,14201,1.0
0.6,861,0,-1.0,-1.0,14201,1.0
0.6,871,0,-1.0,-1.0,14201,1.0
0.6,881,0,-1.0,-1.0,14201,1.0
0.6,891,0,-1.0,-1.0,14201,1.0
0.7,1,13646,0.06236133574657612,0.14212693471236082,0,0.0
0.7,11,0,-1.0,-1.0,14201,1.0
0.7,21,0,-1.0,-1.0,14201,1.0
0.7,31,0,-1.0,-1.0,14201,1.0
0.7,41,0,-1.0,-1.0,14201,1.0
0.7,51,0,-1.0,-1.0,14201,1.0
0.7,61,0,-1.0,-1.0,14201,1.0
0.7,71,0,-1.0,-1.0,14201,1.0
0.7,81,0,-1.0,-1.0,14201,1.0
0.7,91,0,-1.0,-1.0,14201,1.0
0.7,101,0,-1.0,-1.0,14201,1.0
0.7,111,0,-1.0,-1.0,14201,1.0
0.7,121,0,-1.0,-1.0,14201,1.0
0.7,131,0,-1.0,-1.0,14201,1.0
0.7,141,0,-1.0,-1.0,14201,1.0
0.7,151,0,-1.0,-1.0,14201,1.0
0.7,161,0,-1.0,-1.0,14201,1.0
0.7,171,0,-1.0,-1.0,14201,1.0
0.7,181,0,-1.0,-1.0,14201,1.0
